id,date,estimatedTotalAmt,transType,title,awardeeName
2348714,2024-01-31,74999,Standard Grant,Conference: RRSP: Responsible Collaboration through Appropriate Research Security,William Marsh Rice University
2403771,2024-07-23,49316920,Cooperative Agreement,Center: SECURE - Collaborative Research Security & Integrity National Environment,University of Washington
2403953,2024-07-23,17500000,Cooperative Agreement,SECURE Analytics,Texas A&M University
2537044,2025-08-16,199999,Standard Grant,Planning: RoRS: Planning Institutional Research Cybersecurity Readiness: Mapping Gaps and Maturity in Support of NSPM-33,Arizona State University
2537124,2025-08-16,299840,Standard Grant,EAGER: Time Aware Research Community Identification of Critical & Emerging Technologies: Global Multi-sector Quantum Information Science (QIS),Regents of the University of Michigan - Ann Arbor
2537299,2025-08-16,300000,Standard Grant,EAGER: A Graph Analytics Approach to Understanding Leakage Patterns in Information Espionage,University of California-San Diego
2537398,2025-08-16,99745,Standard Grant,Conference: Workshop to Identify Research on Research Security (RORS) Needs in Higher Education,Michigan Technological University
2537412,2025-08-16,299414,Standard Grant,EAGER: SENSE: National Security Evaluation of Neurotechnology Systems and Emerging tools,The University of Central Florida Board of Trustees
2537355,2025-08-18,274654,Standard Grant,EAGER: Unmasking HPC Abuse: AI Graph Inference from Scheduling Metadata,University of Illinois at Urbana-Champaign
2537308,2025-08-21,105113,Standard Grant,Collaborative Research: Planning: CROSS: Building a Community aROund Securing the Research Software Supply Chain,Purdue University
2537309,2025-08-21,49996,Standard Grant,Collaborative Research: Planning: CROSS: Building a Community aROund Securing the Research Software Supply Chain,Loyola University of Chicago
2537310,2025-08-21,44891,Standard Grant,Collaborative Research: Planning: CROSS: Building a Community aROund Securing the Research Software Supply Chain,University of Alabama Tuscaloosa
2537450,2025-08-21,300000,Standard Grant,EAGER: Securing AI Research: Developing and Validating a Lifecycle-Based Typology of Threats Through Critical Incident Analysis and Participatory Engagement,Virginia Polytechnic Institute and State University
2535149,2025-08-24,197286,Standard Grant,Planning: Security Planning for Assessment-driven Resource-constrained Campuses,STEM RESOURCES LLC
2536467,2025-08-29,300000,Standard Grant,EAGER: Gamified Behavioral Experiments for Responsible and Secure Collaboration,Clemson University
2537478,2026-08-07,200000,Standard Grant,Planning: Collection and Exploratory Analysis of Suspicious Contact Reports (SCRs) to Enhance Research Security,University of Virginia Main Campus
2538186,2026-08-07,300000,Standard Grant,EAGER: Towards an International Open-source Repository Browser (iORB),University of California-Santa Cruz
2623355,2026-08-07,299997,Standard Grant,EAGER: Quantifying the Scale of Foreign Influence: Estimating Base Rates and Perception Gaps in U.S. Research Security,William Marsh Rice University
2627310,2026-08-07,302874,Standard Grant,EAGER: Recognizing and Escalating International Research Security Vulnerabilities: Pre-Faculty Researchers in U.S.-Funded Engineering Research Teams,University of Florida
2627426,2026-08-07,302955,Standard Grant,EAGER: Predictive Front-Running of U.S. Research Trajectories,Louisiana State University
2628289,2026-08-07,180000,Standard Grant,Collaborative Research: EAGER: Unveiling Security Risks to Scientific Integrity in AI-Driven Biological Discovery,Saint Louis University
2628290,2026-08-07,71250,Standard Grant,Collaborative Research: EAGER: Unveiling Security Risks to Scientific Integrity in AI-Driven Biological Discovery,University of Kansas Center for Research Inc
2628291,2026-08-07,51750,Standard Grant,Collaborative Research: EAGER: Unveiling Security Risks to Scientific Integrity in AI-Driven Biological Discovery,Michigan State University
