aaas_row_key,aaas_page,aaas_field,aaas_label,label_kind,status,mapping_type,federal_account_codes,federal_account_titles,rationale,evidence_ids,integration_state
DOESC:: TOTAL,Energy,DOESC, TOTAL,aggregate_or_total,resolved,one_to_one_or_alias,089-0222,"Science, Energy Programs, Energy",AAAS nests the displayed line in a field that denotes this federal account; the official account title confirms the parent identity.,aaas:fy2026-powerbi|usaspending:089-0222,reference_only_pending_phase_3_2a_contract
DOESC::Adv Sci Computing Res (ASCR),Energy,DOESC,Adv Sci Computing Res (ASCR),account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,089-0222,"Science, Energy Programs, Energy",AAAS nests the displayed line in a field that denotes this federal account; the official account title confirms the parent identity.,aaas:fy2026-powerbi|usaspending:089-0222,reference_only_pending_phase_3_2a_contract
DOESC::Basic Energy Sciences (BES),Energy,DOESC,Basic Energy Sciences (BES),account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,089-0222,"Science, Energy Programs, Energy",AAAS nests the displayed line in a field that denotes this federal account; the official account title confirms the parent identity.,aaas:fy2026-powerbi|usaspending:089-0222,reference_only_pending_phase_3_2a_contract
DOESC::Bio and Environ Research (BER),Energy,DOESC,Bio and Environ Research (BER),account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,089-0222,"Science, Energy Programs, Energy",AAAS nests the displayed line in a field that denotes this federal account; the official account title confirms the parent identity.,aaas:fy2026-powerbi|usaspending:089-0222,reference_only_pending_phase_3_2a_contract
DOESC::Fusion Energy Sciences (FES),Energy,DOESC,Fusion Energy Sciences (FES),account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,089-0222,"Science, Energy Programs, Energy",AAAS nests the displayed line in a field that denotes this federal account; the official account title confirms the parent identity.,aaas:fy2026-powerbi|usaspending:089-0222,reference_only_pending_phase_3_2a_contract
DOESC::High-Energy Physics (HEP),Energy,DOESC,High-Energy Physics (HEP),account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,089-0222,"Science, Energy Programs, Energy",AAAS nests the displayed line in a field that denotes this federal account; the official account title confirms the parent identity.,aaas:fy2026-powerbi|usaspending:089-0222,reference_only_pending_phase_3_2a_contract
DOESC::Nuclear Physics,Energy,DOESC,Nuclear Physics,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,089-0222,"Science, Energy Programs, Energy",AAAS nests the displayed line in a field that denotes this federal account; the official account title confirms the parent identity.,aaas:fy2026-powerbi|usaspending:089-0222,reference_only_pending_phase_3_2a_contract
DOEEERE1:: TOTAL,Energy,DOEEERE1, TOTAL,aggregate_or_total,resolved,one_to_one_or_alias,089-0321,"Energy Efficiency and Renewable Energy, Energy Programs, Energy",AAAS nests the displayed line in a field that denotes this federal account; the official account title confirms the parent identity.,aaas:fy2026-powerbi|usaspending:089-0321,reference_only_pending_phase_3_2a_contract
DOEEERE1::Bioenergy Tech,Energy,DOEEERE1,Bioenergy Tech,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,089-0321,"Energy Efficiency and Renewable Energy, Energy Programs, Energy",AAAS nests the displayed line in a field that denotes this federal account; the official account title confirms the parent identity.,aaas:fy2026-powerbi|usaspending:089-0321,reference_only_pending_phase_3_2a_contract
DOEEERE1::Hydrogen & Fuel Cells,Energy,DOEEERE1,Hydrogen & Fuel Cells,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,089-0321,"Energy Efficiency and Renewable Energy, Energy Programs, Energy",AAAS nests the displayed line in a field that denotes this federal account; the official account title confirms the parent identity.,aaas:fy2026-powerbi|usaspending:089-0321,reference_only_pending_phase_3_2a_contract
DOEEERE1::Solar Energy,Energy,DOEEERE1,Solar Energy,account_or_program_line,resolved,many_aaas_rows_to_one_federal_account,089-0321,"Energy Efficiency and Renewable Energy, Energy Programs, Energy",AAAS nests the displayed line in a field that denotes this federal account; the official account title confirms the parent identity.,aaas:fy2026-powerbi|usaspending:089-0321,reference_only_pending_phase_3_2a_contract
